timestamp,username,score,threshold,result
2026-08-13 20:40:03,456,0.504570,0.680000,REJECT
2026-08-13 20:40:09,456,0.502486,0.680000,REJECT
2026-08-13 20:40:14,456,0.516451,0.680000,REJECT
2026-08-15 13:24:38,123456,0.780533,0.680000,ACCEPT
2026-08-15 13:25:28,123456,0.752072,0.600000,ACCEPT
2026-08-15 13:57:01,123456,0.659385,0.600000,ACCEPT
2026-08-15 14:00:32,duy123,0.754519,0.600000,ACCEPT
2026-08-17 15:01:32,thanh,0.085466,0.600000,REJECT
2026-08-17 15:01:43,thanh,0.252506,0.600000,REJECT
2026-08-17 15:01:57,thanh,0.087482,0.600000,REJECT
2026-08-17 15:05:19,Quân,0.534505,0.600000,REJECT
2026-08-17 15:05:26,Quân,0.665912,0.600000,ACCEPT
