timestamp,username,real_score,spoof_score,threshold,result
2026-08-20 22:19:42,Thanh,0.007553,0.000436,0.500000,SPOOF
2026-08-20 22:19:46,Thanh,0.007164,0.000406,0.500000,SPOOF
2026-08-20 22:20:21,Thanh,0.009598,0.000614,0.500000,SPOOF
2026-08-20 22:20:23,Thanh,0.009046,0.000572,0.500000,SPOOF
2026-08-20 22:20:26,Thanh,0.008066,0.000495,0.500000,SPOOF
2026-08-20 22:20:30,Thanh,0.007810,0.000502,0.500000,SPOOF
2026-08-20 22:21:34,Thanh,0.000297,0.999703,0.500000,SPOOF
2026-08-20 22:21:39,Thanh,0.000248,0.999752,0.500000,SPOOF
2026-08-20 22:21:43,Thanh,0.000248,0.999752,0.500000,SPOOF
2026-08-20 22:23:36,Thanh,0.000686,0.999314,0.500000,SPOOF
2026-08-20 22:25:30,Thanh,0.000686,0.999314,0.500000,SPOOF
2026-08-20 22:26:08,6,0.000326,0.999674,0.500000,SPOOF
2026-08-20 22:29:29,thanh,0.000414,0.999586,0.500000,SPOOF
2026-08-20 22:32:30,Thanh,0.006687,0.000430,0.500000,SPOOF
2026-08-20 22:32:32,Thanh,0.007345,0.000431,0.500000,SPOOF
2026-08-20 22:32:36,Thanh,0.013863,0.000618,0.500000,SPOOF
2026-08-20 22:32:43,Thanh,0.008901,0.000421,0.500000,SPOOF
2026-08-20 22:39:57,1,0.007883,0.000491,0.500000,SPOOF
2026-08-20 22:42:14,t,0.007247,0.000476,0.500000,SPOOF
2026-08-20 22:46:28,1,0.005875,0.994125,0.500000,SPOOF
2026-08-20 22:46:32,1,0.006131,0.993869,0.500000,SPOOF
2026-08-20 22:50:03,1,0.007008,0.992992,0.500000,SPOOF
2026-08-20 22:50:05,1,0.005496,0.994504,0.500000,SPOOF
2026-08-20 22:50:20,1,0.005618,0.994382,0.500000,SPOOF
2026-08-20 22:50:30,1,0.006076,0.993924,0.500000,SPOOF
2026-08-20 22:52:11,1,0.000286,0.999714,0.500000,SPOOF
2026-08-20 22:52:15,1,0.000266,0.999734,0.500000,SPOOF
2026-08-20 22:52:21,1,0.000247,0.999753,0.500000,SPOOF
2026-08-20 22:52:54,1,0.000259,0.999741,0.500000,SPOOF
2026-08-20 22:57:23,1,0.005374,0.994626,0.500000,SPOOF
2026-08-20 23:01:03,;,0.005841,0.994159,0.500000,SPOOF
2026-08-20 23:01:29,i,0.005666,0.994334,0.500000,SPOOF
2026-08-20 23:01:31,i,0.005488,0.994512,0.500000,SPOOF
2026-08-20 23:02:51,j,0.012229,0.987771,0.500000,SPOOF
2026-08-20 23:02:53,j,0.009518,0.990482,0.500000,SPOOF
2026-08-20 23:04:53,7,0.012157,0.987843,0.500000,SPOOF
2026-08-20 23:06:27,l,0.011890,0.988110,0.500000,SPOOF
2026-08-20 23:07:49,kk,0.010768,0.989232,0.500000,SPOOF
2026-08-20 23:10:23,1,0.000302,0.999698,0.500000,SPOOF
2026-08-20 23:14:13,1,0.000280,0.999720,0.500000,SPOOF
